serial,lot,fixture,shift,timestamp,step,measurement,value,unit,lower_limit,upper_limit,result,notes
SRB5030-2608-0001,L2608A,FIX-01,A,2026-08-24T07:12:00,1,R_OUT,3279.0,ohm,500.0,,PASS,
SRB5030-2608-0001,L2608A,FIX-01,A,2026-08-24T07:12:07,2,IQ_NL,11.05,mA,,25.00,PASS,
SRB5030-2608-0001,L2608A,FIX-01,A,2026-08-24T07:12:14,3,VOUT,4.9751,V,4.9500,5.0500,PASS,
SRB5030-2608-0001,L2608A,FIX-01,A,2026-08-24T07:12:21,4,LINE_REG,0.093,%,,0.300,PASS,
SRB5030-2608-0001,L2608A,FIX-01,A,2026-08-24T07:12:28,5,LOAD_REG,0.421,%,,0.800,PASS,
SRB5030-2608-0001,L2608A,FIX-01,A,2026-08-24T07:12:35,6,EFF_FL,92.18,%,88.00,,PASS,
SRB5030-2608-0001,L2608A,FIX-01,A,2026-08-24T07:12:42,7,RIPPLE,22.7,mV,,50.0,PASS,
SRB5030-2608-0001,L2608A,FIX-01,A,2026-08-24T07:12:49,8,I_LIM,4.15,A,3.70,5.00,PASS,
SRB5030-2608-0002,L2608A,FIX-02,A,2026-08-24T07:19:00,1,R_OUT,3231.4,ohm,500.0,,PASS,
SRB5030-2608-0002,L2608A,FIX-02,A,2026-08-24T07:19:07,2,IQ_NL,11.26,mA,,25.00,PASS,
SRB5030-2608-0002,L2608A,FIX-02,A,2026-08-24T07:19:14,3,VOUT,5.0013,V,4.9500,5.0500,PASS,
SRB5030-2608-0002,L2608A,FIX-02,A,2026-08-24T07:19:21,4,LINE_REG,0.136,%,,0.300,PASS,
SRB5030-2608-0002,L2608A,FIX-02,A,2026-08-24T07:19:28,5,LOAD_REG,0.418,%,,0.800,PASS,
SRB5030-2608-0002,L2608A,FIX-02,A,2026-08-24T07:19:35,6,EFF_FL,92.79,%,88.00,,PASS,
SRB5030-2608-0002,L2608A,FIX-02,A,2026-08-24T07:19:42,7,RIPPLE,22.9,mV,,50.0,PASS,
SRB5030-2608-0002,L2608A,FIX-02,A,2026-08-24T07:19:49,8,I_LIM,4.45,A,3.70,5.00,PASS,
SRB5030-2608-0003,L2608A,FIX-03,A,2026-08-24T07:26:00,1,R_OUT,3239.0,ohm,500.0,,PASS,
SRB5030-2608-0003,L2608A,FIX-03,A,2026-08-24T07:26:07,2,IQ_NL,10.13,mA,,25.00,PASS,
SRB5030-2608-0003,L2608A,FIX-03,A,2026-08-24T07:26:14,3,VOUT,4.9528,V,4.9500,5.0500,PASS,
SRB5030-2608-0003,L2608A,FIX-03,A,2026-08-24T07:26:21,4,LINE_REG,0.089,%,,0.300,PASS,
SRB5030-2608-0003,L2608A,FIX-03,A,2026-08-24T07:26:28,5,LOAD_REG,0.396,%,,0.800,PASS,
SRB5030-2608-0003,L2608A,FIX-03,A,2026-08-24T07:26:35,6,EFF_FL,92.88,%,88.00,,PASS,
SRB5030-2608-0003,L2608A,FIX-03,A,2026-08-24T07:26:42,7,RIPPLE,20.4,mV,,50.0,PASS,
SRB5030-2608-0003,L2608A,FIX-03,A,2026-08-24T07:26:49,8,I_LIM,4.20,A,3.70,5.00,PASS,
SRB5030-2608-0004,L2608A,FIX-04,A,2026-08-24T07:33:00,1,R_OUT,3204.9,ohm,500.0,,PASS,
SRB5030-2608-0004,L2608A,FIX-04,A,2026-08-24T07:33:07,2,IQ_NL,10.79,mA,,25.00,PASS,
SRB5030-2608-0004,L2608A,FIX-04,A,2026-08-24T07:33:14,3,VOUT,4.9939,V,4.9500,5.0500,PASS,
SRB5030-2608-0004,L2608A,FIX-04,A,2026-08-24T07:33:21,4,LINE_REG,0.094,%,,0.300,PASS,
SRB5030-2608-0004,L2608A,FIX-04,A,2026-08-24T07:33:28,5,LOAD_REG,0.384,%,,0.800,PASS,
SRB5030-2608-0004,L2608A,FIX-04,A,2026-08-24T07:33:35,6,EFF_FL,92.73,%,88.00,,PASS,
SRB5030-2608-0004,L2608A,FIX-04,A,2026-08-24T07:33:42,7,RIPPLE,20.2,mV,,50.0,PASS,
SRB5030-2608-0004,L2608A,FIX-04,A,2026-08-24T07:33:49,8,I_LIM,4.15,A,3.70,5.00,PASS,
SRB5030-2608-0005,L2608B,FIX-01,A,2026-08-24T07:40:00,1,R_OUT,3231.8,ohm,500.0,,PASS,
SRB5030-2608-0005,L2608B,FIX-01,A,2026-08-24T07:40:07,2,IQ_NL,11.30,mA,,25.00,PASS,
SRB5030-2608-0005,L2608B,FIX-01,A,2026-08-24T07:40:14,3,VOUT,4.9805,V,4.9500,5.0500,PASS,
SRB5030-2608-0005,L2608B,FIX-01,A,2026-08-24T07:40:21,4,LINE_REG,0.130,%,,0.300,PASS,
SRB5030-2608-0005,L2608B,FIX-01,A,2026-08-24T07:40:28,5,LOAD_REG,0.408,%,,0.800,PASS,
SRB5030-2608-0005,L2608B,FIX-01,A,2026-08-24T07:40:35,6,EFF_FL,92.37,%,88.00,,PASS,
SRB5030-2608-0005,L2608B,FIX-01,A,2026-08-24T07:40:42,7,RIPPLE,43.0,mV,,50.0,PASS,
SRB5030-2608-0005,L2608B,FIX-01,A,2026-08-24T07:40:49,8,I_LIM,4.35,A,3.70,5.00,PASS,
SRB5030-2608-0006,L2608B,FIX-02,A,2026-08-24T07:47:00,1,R_OUT,3288.1,ohm,500.0,,PASS,
SRB5030-2608-0006,L2608B,FIX-02,A,2026-08-24T07:47:07,2,IQ_NL,11.19,mA,,25.00,PASS,
SRB5030-2608-0006,L2608B,FIX-02,A,2026-08-24T07:47:14,3,VOUT,4.9744,V,4.9500,5.0500,PASS,
SRB5030-2608-0006,L2608B,FIX-02,A,2026-08-24T07:47:21,4,LINE_REG,0.132,%,,0.300,PASS,
SRB5030-2608-0006,L2608B,FIX-02,A,2026-08-24T07:47:28,5,LOAD_REG,0.429,%,,0.800,PASS,
SRB5030-2608-0006,L2608B,FIX-02,A,2026-08-24T07:47:35,6,EFF_FL,92.51,%,88.00,,PASS,
SRB5030-2608-0006,L2608B,FIX-02,A,2026-08-24T07:47:42,7,RIPPLE,47.4,mV,,50.0,PASS,
SRB5030-2608-0006,L2608B,FIX-02,A,2026-08-24T07:47:49,8,I_LIM,4.20,A,3.70,5.00,PASS,
SRB5030-2608-0007,L2608B,FIX-03,A,2026-08-24T07:54:00,1,R_OUT,3277.7,ohm,500.0,,PASS,
SRB5030-2608-0007,L2608B,FIX-03,A,2026-08-24T07:54:07,2,IQ_NL,11.40,mA,,25.00,PASS,
SRB5030-2608-0007,L2608B,FIX-03,A,2026-08-24T07:54:14,3,VOUT,4.9614,V,4.9500,5.0500,PASS,
SRB5030-2608-0007,L2608B,FIX-03,A,2026-08-24T07:54:21,4,LINE_REG,0.116,%,,0.300,PASS,
SRB5030-2608-0007,L2608B,FIX-03,A,2026-08-24T07:54:28,5,LOAD_REG,0.375,%,,0.800,PASS,
SRB5030-2608-0007,L2608B,FIX-03,A,2026-08-24T07:54:35,6,EFF_FL,92.28,%,88.00,,PASS,
SRB5030-2608-0007,L2608B,FIX-03,A,2026-08-24T07:54:42,7,RIPPLE,39.8,mV,,50.0,PASS,
SRB5030-2608-0007,L2608B,FIX-03,A,2026-08-24T07:54:49,8,I_LIM,4.40,A,3.70,5.00,PASS,
SRB5030-2608-0008,L2608B,FIX-04,A,2026-08-24T08:01:00,1,R_OUT,3239.4,ohm,500.0,,PASS,
SRB5030-2608-0008,L2608B,FIX-04,A,2026-08-24T08:01:07,2,IQ_NL,11.24,mA,,25.00,PASS,
SRB5030-2608-0008,L2608B,FIX-04,A,2026-08-24T08:01:14,3,VOUT,5.0092,V,4.9500,5.0500,PASS,
SRB5030-2608-0008,L2608B,FIX-04,A,2026-08-24T08:01:21,4,LINE_REG,0.109,%,,0.300,PASS,
SRB5030-2608-0008,L2608B,FIX-04,A,2026-08-24T08:01:28,5,LOAD_REG,0.406,%,,0.800,PASS,
SRB5030-2608-0008,L2608B,FIX-04,A,2026-08-24T08:01:35,6,EFF_FL,92.54,%,88.00,,PASS,
SRB5030-2608-0008,L2608B,FIX-04,A,2026-08-24T08:01:42,7,RIPPLE,52.2,mV,,50.0,FAIL,ripple 52mv
SRB5030-2608-0008,L2608B,FIX-04,A,2026-08-24T08:01:49,8,I_LIM,4.00,A,3.70,5.00,PASS,
SRB5030-2608-0009,L2608C,FIX-01,A,2026-08-24T08:08:00,1,R_OUT,3477.3,ohm,500.0,,PASS,
SRB5030-2608-0009,L2608C,FIX-01,A,2026-08-24T08:08:07,2,IQ_NL,11.48,mA,,25.00,PASS,
SRB5030-2608-0009,L2608C,FIX-01,A,2026-08-24T08:08:14,3,VOUT,5.0035,V,4.9500,5.0500,PASS,
SRB5030-2608-0009,L2608C,FIX-01,A,2026-08-24T08:08:21,4,LINE_REG,0.090,%,,0.300,PASS,
SRB5030-2608-0009,L2608C,FIX-01,A,2026-08-24T08:08:28,5,LOAD_REG,0.389,%,,0.800,PASS,
SRB5030-2608-0009,L2608C,FIX-01,A,2026-08-24T08:08:35,6,EFF_FL,92.38,%,88.00,,PASS,
SRB5030-2608-0009,L2608C,FIX-01,A,2026-08-24T08:08:42,7,RIPPLE,20.9,mV,,50.0,PASS,
SRB5030-2608-0009,L2608C,FIX-01,A,2026-08-24T08:08:49,8,I_LIM,4.25,A,3.70,5.00,PASS,
SRB5030-2608-0010,L2608C,FIX-02,A,2026-08-24T08:15:00,1,R_OUT,3228.0,ohm,500.0,,PASS,
SRB5030-2608-0010,L2608C,FIX-02,A,2026-08-24T08:15:07,2,IQ_NL,10.38,mA,,25.00,PASS,
SRB5030-2608-0010,L2608C,FIX-02,A,2026-08-24T08:15:14,3,VOUT,4.9913,V,4.9500,5.0500,PASS,
SRB5030-2608-0010,L2608C,FIX-02,A,2026-08-24T08:15:21,4,LINE_REG,0.117,%,,0.300,PASS,
SRB5030-2608-0010,L2608C,FIX-02,A,2026-08-24T08:15:28,5,LOAD_REG,0.424,%,,0.800,PASS,
SRB5030-2608-0010,L2608C,FIX-02,A,2026-08-24T08:15:35,6,EFF_FL,92.40,%,88.00,,PASS,
SRB5030-2608-0010,L2608C,FIX-02,A,2026-08-24T08:15:42,7,RIPPLE,22.7,mV,,50.0,PASS,
SRB5030-2608-0010,L2608C,FIX-02,A,2026-08-24T08:15:49,8,I_LIM,4.45,A,3.70,5.00,PASS,
SRB5030-2608-0011,L2608C,FIX-03,A,2026-08-24T08:22:00,1,R_OUT,3268.6,ohm,500.0,,PASS,
SRB5030-2608-0011,L2608C,FIX-03,A,2026-08-24T08:22:07,2,IQ_NL,10.77,mA,,25.00,PASS,
SRB5030-2608-0011,L2608C,FIX-03,A,2026-08-24T08:22:14,3,VOUT,4.9497,V,4.9500,5.0500,FAIL,"low again on fix3, thats 3 today"
SRB5030-2608-0011,L2608C,FIX-03,A,2026-08-24T08:22:21,4,LINE_REG,0.130,%,,0.300,PASS,
SRB5030-2608-0011,L2608C,FIX-03,A,2026-08-24T08:22:28,5,LOAD_REG,0.429,%,,0.800,PASS,
SRB5030-2608-0011,L2608C,FIX-03,A,2026-08-24T08:22:35,6,EFF_FL,91.92,%,88.00,,PASS,
SRB5030-2608-0011,L2608C,FIX-03,A,2026-08-24T08:22:42,7,RIPPLE,21.2,mV,,50.0,PASS,
SRB5030-2608-0011,L2608C,FIX-03,A,2026-08-24T08:22:49,8,I_LIM,4.05,A,3.70,5.00,PASS,
SRB5030-2608-0012,L2608C,FIX-04,A,2026-08-24T08:29:00,1,R_OUT,3200.4,ohm,500.0,,PASS,
SRB5030-2608-0012,L2608C,FIX-04,A,2026-08-24T08:29:07,2,IQ_NL,11.13,mA,,25.00,PASS,
SRB5030-2608-0012,L2608C,FIX-04,A,2026-08-24T08:29:14,3,VOUT,4.9753,V,4.9500,5.0500,PASS,
SRB5030-2608-0012,L2608C,FIX-04,A,2026-08-24T08:29:21,4,LINE_REG,0.086,%,,0.300,PASS,
SRB5030-2608-0012,L2608C,FIX-04,A,2026-08-24T08:29:28,5,LOAD_REG,0.372,%,,0.800,PASS,
SRB5030-2608-0012,L2608C,FIX-04,A,2026-08-24T08:29:35,6,EFF_FL,92.44,%,88.00,,PASS,
SRB5030-2608-0012,L2608C,FIX-04,A,2026-08-24T08:29:42,7,RIPPLE,22.0,mV,,50.0,PASS,
SRB5030-2608-0012,L2608C,FIX-04,A,2026-08-24T08:29:49,8,I_LIM,4.30,A,3.70,5.00,PASS,
SRB5030-2608-0013,L2608D,FIX-01,A,2026-08-24T08:36:00,1,R_OUT,3235.1,ohm,500.0,,PASS,
SRB5030-2608-0013,L2608D,FIX-01,A,2026-08-24T08:36:07,2,IQ_NL,11.32,mA,,25.00,PASS,
SRB5030-2608-0013,L2608D,FIX-01,A,2026-08-24T08:36:14,3,VOUT,4.9817,V,4.9500,5.0500,PASS,
SRB5030-2608-0013,L2608D,FIX-01,A,2026-08-24T08:36:21,4,LINE_REG,0.080,%,,0.300,PASS,
SRB5030-2608-0013,L2608D,FIX-01,A,2026-08-24T08:36:28,5,LOAD_REG,0.374,%,,0.800,PASS,
SRB5030-2608-0013,L2608D,FIX-01,A,2026-08-24T08:36:35,6,EFF_FL,91.93,%,88.00,,PASS,
SRB5030-2608-0013,L2608D,FIX-01,A,2026-08-24T08:36:42,7,RIPPLE,21.6,mV,,50.0,PASS,
SRB5030-2608-0013,L2608D,FIX-01,A,2026-08-24T08:36:49,8,I_LIM,4.45,A,3.70,5.00,PASS,
SRB5030-2608-0014,L2608D,FIX-02,A,2026-08-24T08:43:00,1,R_OUT,3387.1,ohm,500.0,,PASS,
SRB5030-2608-0014,L2608D,FIX-02,A,2026-08-24T08:43:07,2,IQ_NL,11.36,mA,,25.00,PASS,
SRB5030-2608-0014,L2608D,FIX-02,A,2026-08-24T08:43:14,3,VOUT,4.9852,V,4.9500,5.0500,PASS,
SRB5030-2608-0014,L2608D,FIX-02,A,2026-08-24T08:43:21,4,LINE_REG,0.110,%,,0.300,PASS,
SRB5030-2608-0014,L2608D,FIX-02,A,2026-08-24T08:43:28,5,LOAD_REG,0.400,%,,0.800,PASS,
SRB5030-2608-0014,L2608D,FIX-02,A,2026-08-24T08:43:35,6,EFF_FL,92.50,%,88.00,,PASS,
SRB5030-2608-0014,L2608D,FIX-02,A,2026-08-24T08:43:42,7,RIPPLE,21.6,mV,,50.0,PASS,
SRB5030-2608-0014,L2608D,FIX-02,A,2026-08-24T08:43:49,8,I_LIM,4.40,A,3.70,5.00,PASS,
SRB5030-2608-0015,L2608D,FIX-03,A,2026-08-24T08:50:00,1,R_OUT,3232.1,ohm,500.0,,PASS,
SRB5030-2608-0015,L2608D,FIX-03,A,2026-08-24T08:50:07,2,IQ_NL,11.19,mA,,25.00,PASS,
SRB5030-2608-0015,L2608D,FIX-03,A,2026-08-24T08:50:14,3,VOUT,4.9461,V,4.9500,5.0500,FAIL,
SRB5030-2608-0015,L2608D,FIX-03,A,2026-08-24T08:50:21,4,LINE_REG,0.112,%,,0.300,PASS,
SRB5030-2608-0015,L2608D,FIX-03,A,2026-08-24T08:50:28,5,LOAD_REG,0.394,%,,0.800,PASS,
SRB5030-2608-0015,L2608D,FIX-03,A,2026-08-24T08:50:35,6,EFF_FL,92.75,%,88.00,,PASS,
SRB5030-2608-0015,L2608D,FIX-03,A,2026-08-24T08:50:42,7,RIPPLE,23.9,mV,,50.0,PASS,
SRB5030-2608-0015,L2608D,FIX-03,A,2026-08-24T08:50:49,8,I_LIM,4.30,A,3.70,5.00,PASS,
SRB5030-2608-0016,L2608D,FIX-04,A,2026-08-24T08:57:00,1,R_OUT,3316.1,ohm,500.0,,PASS,
SRB5030-2608-0016,L2608D,FIX-04,A,2026-08-24T08:57:07,2,IQ_NL,11.14,mA,,25.00,PASS,
SRB5030-2608-0016,L2608D,FIX-04,A,2026-08-24T08:57:14,3,VOUT,4.9991,V,4.9500,5.0500,PASS,
SRB5030-2608-0016,L2608D,FIX-04,A,2026-08-24T08:57:21,4,LINE_REG,0.105,%,,0.300,PASS,
SRB5030-2608-0016,L2608D,FIX-04,A,2026-08-24T08:57:28,5,LOAD_REG,0.398,%,,0.800,PASS,
SRB5030-2608-0016,L2608D,FIX-04,A,2026-08-24T08:57:35,6,EFF_FL,92.21,%,88.00,,PASS,
SRB5030-2608-0016,L2608D,FIX-04,A,2026-08-24T08:57:42,7,RIPPLE,24.3,mV,,50.0,PASS,
SRB5030-2608-0016,L2608D,FIX-04,A,2026-08-24T08:57:49,8,I_LIM,4.10,A,3.70,5.00,PASS,
SRB5030-2608-0017,L2608A,FIX-01,A,2026-08-24T09:04:00,1,R_OUT,3456.1,ohm,500.0,,PASS,
SRB5030-2608-0017,L2608A,FIX-01,A,2026-08-24T09:04:07,2,IQ_NL,11.18,mA,,25.00,PASS,
SRB5030-2608-0017,L2608A,FIX-01,A,2026-08-24T09:04:14,3,VOUT,4.9793,V,4.9500,5.0500,PASS,
SRB5030-2608-0017,L2608A,FIX-01,A,2026-08-24T09:04:21,4,LINE_REG,0.166,%,,0.300,PASS,
SRB5030-2608-0017,L2608A,FIX-01,A,2026-08-24T09:04:28,5,LOAD_REG,0.422,%,,0.800,PASS,
SRB5030-2608-0017,L2608A,FIX-01,A,2026-08-24T09:04:35,6,EFF_FL,92.59,%,88.00,,PASS,
SRB5030-2608-0017,L2608A,FIX-01,A,2026-08-24T09:04:42,7,RIPPLE,22.0,mV,,50.0,PASS,
SRB5030-2608-0017,L2608A,FIX-01,A,2026-08-24T09:04:49,8,I_LIM,4.25,A,3.70,5.00,PASS,
SRB5030-2608-0018,L2608A,FIX-02,A,2026-08-24T09:11:00,1,R_OUT,3347.3,ohm,500.0,,PASS,
