serial,lot,fixture,timestamp,measurement,value_v,result
SRB5030-2608-0011,L2608C,FIX-01,2026-08-31T13:40:00,VOUT,4973.5,PASS
SRB5030-2608-0015,L2608D,FIX-01,2026-08-31T13:43:00,VOUT,4971.3,PASS
SRB5030-2608-0052,L2608A,FIX-01,2026-08-31T13:46:00,VOUT,4944.9,FAIL
SRB5030-2608-0063,L2608D,FIX-01,2026-08-31T13:49:00,VOUT,-6.1,FAIL
SRB5030-2608-0075,L2608C,FIX-01,2026-08-31T13:52:00,VOUT,4972.9,PASS
SRB5030-2608-0175,L2608D,FIX-01,2026-08-31T13:55:00,VOUT,4970.3,PASS
SRB5030-2608-0178,L2608A,FIX-01,2026-08-31T13:58:00,VOUT,0.5,FAIL
SRB5030-2608-0191,L2608D,FIX-01,2026-08-31T14:01:00,VOUT,4967.8,PASS
SRB5030-2608-0009,L2608C,FIX-01,2026-08-31T14:04:00,VOUT,5004.9,PASS
SRB5030-2608-0023,L2608B,FIX-01,2026-08-31T14:07:00,VOUT,4989.7,PASS
SRB5030-2608-0061,L2608D,FIX-01,2026-08-31T14:10:00,VOUT,4975.9,PASS
SRB5030-2608-0088,L2608B,FIX-01,2026-08-31T14:13:00,VOUT,5000.2,PASS
SRB5030-2608-0104,L2608B,FIX-01,2026-08-31T14:16:00,VOUT,4972.4,PASS
SRB5030-2608-0142,L2608A,FIX-01,2026-08-31T14:19:00,VOUT,4985.1,PASS
SRB5030-2608-0150,L2608B,FIX-01,2026-08-31T14:22:00,VOUT,4998.4,PASS
SRB5030-2608-0163,L2608A,FIX-01,2026-08-31T14:25:00,VOUT,4994.6,PASS
SRB5030-2608-0187,L2608C,FIX-01,2026-08-31T14:28:00,VOUT,5007.7,PASS
SRB5030-2608-0199,L2608B,FIX-01,2026-08-31T14:31:00,VOUT,4976.0,PASS
