serial,timestamp,elapsed_min,vin_v,iout_a,vout_v,tcase_c
SRB5030-2608-0044,2026-08-27T09:00:00,0,24.000,3.000,4.9923,24.6
SRB5030-2608-0044,2026-08-27T09:05:00,5,24.000,3.000,4.9920,36.7
SRB5030-2608-0044,2026-08-27T09:10:00,10,24.000,3.000,4.9913,45.0
SRB5030-2608-0044,2026-08-27T09:15:00,15,24.000,3.000,4.9910,50.3
SRB5030-2608-0044,2026-08-27T09:20:00,20,24.000,3.000,4.9909,53.5
SRB5030-2608-0044,2026-08-27T09:25:00,25,24.000,3.000,4.9921,56.1
SRB5030-2608-0044,2026-08-27T09:30:00,30,24.000,3.000,4.9918,57.6
SRB5030-2608-0044,2026-08-27T09:35:00,35,24.000,3.000,4.9911,58.8
SRB5030-2608-0044,2026-08-27T09:40:00,40,24.000,3.000,4.9905,59.4
SRB5030-2608-0044,2026-08-27T09:45:00,45,24.000,3.000,4.9906,59.8
SRB5030-2608-0044,2026-08-27T09:50:00,50,24.000,3.000,4.9912,59.8
SRB5030-2608-0044,2026-08-27T09:55:00,55,24.000,3.000,4.9907,60.0
SRB5030-2608-0044,2026-08-27T10:00:00,60,24.000,3.000,4.9908,60.1
SRB5030-2608-0044,2026-08-27T10:05:00,65,24.000,3.000,4.9894,60.5
SRB5030-2608-0044,2026-08-27T10:10:00,70,24.000,3.000,4.9903,60.4
SRB5030-2608-0044,2026-08-27T10:15:00,75,24.000,3.000,4.9906,60.6
SRB5030-2608-0044,2026-08-27T10:20:00,80,24.000,3.000,4.9904,60.4
SRB5030-2608-0044,2026-08-27T10:25:00,85,24.000,3.000,4.9918,60.5
SRB5030-2608-0044,2026-08-27T10:30:00,90,24.000,3.000,4.9898,60.3
SRB5030-2608-0121,2026-08-27T09:00:00,0,24.000,3.000,4.9910,24.6
SRB5030-2608-0121,2026-08-27T09:05:00,5,24.000,3.000,4.9682,43.1
SRB5030-2608-0121,2026-08-27T09:10:00,10,24.000,3.000,4.9527,55.6
SRB5030-2608-0121,2026-08-27T09:15:00,15,24.000,3.000,4.9435,63.9
SRB5030-2608-0121,2026-08-27T09:20:00,20,24.000,3.000,4.9370,70.0
SRB5030-2608-0121,2026-08-27T09:25:00,25,24.000,3.000,4.9306,74.4
SRB5030-2608-0121,2026-08-27T09:30:00,30,24.000,3.000,4.9273,77.6
SRB5030-2608-0121,2026-08-27T09:35:00,35,24.000,3.000,4.9255,79.8
SRB5030-2608-0121,2026-08-27T09:40:00,40,24.000,3.000,4.9232,81.3
SRB5030-2608-0121,2026-08-27T09:45:00,45,24.000,3.000,4.9230,82.8
SRB5030-2608-0121,2026-08-27T09:50:00,50,24.000,3.000,4.9216,84.0
SRB5030-2608-0121,2026-08-27T09:55:00,55,24.000,3.000,4.9203,85.2
SRB5030-2608-0121,2026-08-27T10:00:00,60,24.000,3.000,4.9196,86.5
SRB5030-2608-0121,2026-08-27T10:05:00,65,24.000,3.000,4.9188,87.3
SRB5030-2608-0121,2026-08-27T10:10:00,70,24.000,3.000,4.9181,88.4
SRB5030-2608-0121,2026-08-27T10:15:00,75,24.000,3.000,4.9172,89.2
SRB5030-2608-0121,2026-08-27T10:20:00,80,24.000,3.000,4.9177,89.9
SRB5030-2608-0121,2026-08-27T10:25:00,85,24.000,3.000,4.9157,91.0
SRB5030-2608-0121,2026-08-27T10:30:00,90,24.000,3.000,4.9155,91.7
SRB5030-2608-0166,2026-08-27T09:00:00,0,24.000,3.000,4.9918,24.4
SRB5030-2608-0166,2026-08-27T09:05:00,5,24.000,3.000,4.9924,36.7
SRB5030-2608-0166,2026-08-27T09:10:00,10,24.000,3.000,4.9920,44.9
SRB5030-2608-0166,2026-08-27T09:15:00,15,24.000,3.000,4.9909,50.0
SRB5030-2608-0166,2026-08-27T09:20:00,20,24.000,3.000,4.9921,53.7
SRB5030-2608-0166,2026-08-27T09:25:00,25,24.000,3.000,4.9899,55.9
SRB5030-2608-0166,2026-08-27T09:30:00,30,24.000,3.000,4.9903,57.3
SRB5030-2608-0166,2026-08-27T09:35:00,35,24.000,3.000,4.9906,58.4
SRB5030-2608-0166,2026-08-27T09:40:00,40,24.000,3.000,4.9906,59.4
SRB5030-2608-0166,2026-08-27T09:45:00,45,24.000,3.000,4.9919,59.6
SRB5030-2608-0166,2026-08-27T09:50:00,50,24.000,3.000,4.9903,59.9
SRB5030-2608-0166,2026-08-27T09:55:00,55,24.000,3.000,4.9905,60.2
SRB5030-2608-0166,2026-08-27T10:00:00,60,24.000,3.000,4.9909,60.2
SRB5030-2608-0166,2026-08-27T10:05:00,65,24.000,3.000,4.9908,60.3
SRB5030-2608-0166,2026-08-27T10:10:00,70,24.000,3.000,4.9905,60.4
SRB5030-2608-0166,2026-08-27T10:15:00,75,24.000,3.000,4.9911,60.7
SRB5030-2608-0166,2026-08-27T10:20:00,80,24.000,3.000,4.9914,60.4
SRB5030-2608-0166,2026-08-27T10:25:00,85,24.000,3.000,4.9907,60.6
SRB5030-2608-0166,2026-08-27T10:30:00,90,24.000,3.000,4.9906,60.5
